domain,host,class,type,usage,selector,matching_type,certificate
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,1,2d91bafdbb6493effd152d26878358b86090aaeead8b7ad5b1781dae6b7e1742
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,1,7788a5bfa705f2061d6beaaa292743ba558947b9df65db7533a1e2ff8f788bd6
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,1,c78a4acad95dc64a3486caee4cdf2f5d965179fb8ee68eec8b31052b24867d73
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,1,ead3330834945cccfb7fcc1e705c9efa68398e0c3bd76e6b15014e0e9c78f717
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,2,3dcd1d09f3202986bade2f200cce0aa03e294deb270b71240f99aaffd6ba5cede8110a69300d8697fac33c9e9aa4e76cc6f22d256a4bdf3835d97af0a55a6c87
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,2,bc99163718b43f505240842c9a0dbf8c0bb8778f4d5a97e26293852273bc507c69327c57132e26533086d5247fde8a71ab68b9fc5fe651b7be7f64804e16be5b
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,2,de3d03e58f901f83ff1ab40f6173d0fd2bbba5f6df815b166e537d09e7009b39aa42726a5d2c277dc9fb9570076d72989a927d230ead520d047f4570a2e00b42
1zwolle.nl,_443._tcp.1zwolle.nl,IN,TLSA,1,1,2,e52319b03f48e52eab7ffd5a2a2ca343afc3904676b34967ad9093400111b2b46709647234ece05115a2da46175939610c84375e9b79d2515c00e26949e91f52
20dragons.com,_443._tcp.20dragons.com,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
20dragons.com,_443._tcp.20dragons.com,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
247guide.nl,_443._tcp.247guide.nl,IN,TLSA,2,1,1,60b87575447dcba2a36b7d11ac09fb24a9db406fee12d2cc90180517616e8a18
247guide.nl,_443._tcp.247guide.nl,IN,TLSA,3,1,1,e1054090e77d8e139dd5e7e920674803bf424356a21c9f32319ad5102dcb3434
24webservice.com,_443._tcp.24webservice.com,IN,TLSA,3,0,1,6540354dad7aa3260d75d082e901a959a8241d438d3f7b959cd4fd1b143c9022
24webservice.nl,_443._tcp.24webservice.nl,IN,TLSA,3,1,1,72a6114cd99feeaa7e9acb8dc295a6e2c50b41c41ee65b3538d0d1789add04f4
26dos.eu,_443._tcp.26dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
26dos.eu,_443._tcp.26dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2718282.net,_443._tcp.2718282.net,IN,TLSA,3,1,2,26d21da5d38c3692465ef91b195b1b5548f60e6d55ea9003e09e2d47adc3fc7935fd0636caf408e2044892e587d4bbee5c289bac10e6bcfe49f89b83b68ad8e3
2718282.net,_443._tcp.2718282.net,IN,TLSA,3,1,2,b0eb2960d0764b9885165a9a4bf4ec1e7d79ace6d5e88a0c9c614607f4df581808456c23c592e5a1e419a90d2ec6bf0f808c3f462bfc1c512f646aa382d2a03d
27dos.eu,_443._tcp.27dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
27dos.eu,_443._tcp.27dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
28dos.eu,_443._tcp.28dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
28dos.eu,_443._tcp.28dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2d-computers.com,_443._tcp.2d-computers.com,IN,TLSA,3,0,1,5bb3f1cdbe5572756be5b31015757848f4fde308bcfa1f3fbabb2f913e17e131
2d-computers.eu,_443._tcp.2d-computers.eu,IN,TLSA,3,0,1,c2958ade7d25a9b93c80aee48abfc39b28714f7c39f87da5ddf3e8ef0a4512c3
2d-computers.nl,_443._tcp.2d-computers.nl,IN,TLSA,3,0,1,fcbc8c23b4fe277259eee68bf02e640de44a6ce7537a25e8bf54afd4c9ee9d99
2dos.eu,_443._tcp.2dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
2dos.eu,_443._tcp.2dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2milebridge.com,_443._tcp.2milebridge.com,IN,TLSA,2,1,1,0b9fa5a59eed715c26c1020c711b4f6ec42d58b0015e14337a39dad301c5afc3
2milebridge.com,_443._tcp.2milebridge.com,IN,TLSA,3,1,1,8f8052188ed8f34aade81087746c13fa1b5f17fc69b443c8af484b0764d41482
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,1,35d5d39499d31f5adbfbea3242dd8fbbc49c614357f7a5a299afb976b92244ca
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,1,580698162ba32b6a2c82b0ae2042f4026204e1aac4604e9ba47e8b59b692b570
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,1,882892e52244b13e3c9808a018f1cba8153b339d6ba14537d7aca8778ca5f6af
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,1,bf3ea331726a87f1a37c8fccdd760ea97d3f9ac30a5976af9b573f27d13d7be9
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,2,1c01dbd914062f5a4f7ead9a5abf3680b6dfc4306cea0188dfb11729dd0af8bc5028e68fa2a21d0aa259cf8942c63e22380ef932d5d7486564925e8ff6d05a00
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,2,1d6cb6dcf877375a07b889f192128d562ef4498f08ad8b09e38e8b85f3342ed70c5cb736fafe61bfc2b5c58b5052dbd06a6cdaa78d0c1b528654479c6676262f
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,2,7f310647fb55b3ff6ad0ab5879d7726c8ccba9ba0b3a08c524f629468c703d2f630a3c4e53e534c100fc491d9855a0b86f683f3f3185e208c35dd50e992b0d05
321live.nl,_443._tcp.321live.nl,IN,TLSA,1,1,2,f40b960cfba2886e9f1127e52858440dba9f3d15c1c1fea000a89b7f3bfa58a6eb1cd476f80f114cc37d060e69b827363a73dd82d1b8b40d82b2432436ba2d4e
365zonnepaneel.nl,_443._tcp.365zonnepaneel.nl,IN,TLSA,3,0,1,7cecad90b167a6cf2e0fe4eaf5eacc218b11e18830bf88c64e547c39e261a421
3dfiguur.nl,_443._tcp.3dfiguur.nl,IN,TLSA,3,0,1,42fadf59975096350c31c5a54d082c5edfdafed43174299da97a1d65f37a674a
438b.net,_443._tcp.438b.net,IN,TLSA,3,1,1,8784394731d21aa41b7c7d6f1a82979711def1d7cb9465ccb789169141e7583b
443.one,_443._tcp.443.one,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
4dos.eu,_443._tcp.4dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
4dos.eu,_443._tcp.4dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4service.nl,_443._tcp.4service.nl,IN,TLSA,3,0,1,34ab6ccf05b06262257ee9e0504bee5f2b9e47144982d95bbf1085ea6331c69f
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,0,1,67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,0,2,96c5793b2b57d8df5891c94015720960e0da4c2cf8ce1fc5707a0b46e5db8ce3761fb5fdb430f619d1579f13e80fbdd973ef6a024129ed039aa193273158fcad
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,1,2,0f644c9a1dcb8c04be6b385a60dbe4fdf7e2b81e335c9ad8c7cd0abe2ff9e7e5bbfbb68b38dd0216f17808f48bdf6af8c6347659c1f41a9858032c31f436d12c
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,0,1,1bd0e19fa4f01333d491d613b102b3064acc40026db395659028ad1126eaa1e8
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,0,2,f26b6ad113b4e6dd21c6f6b09263cce29b90c2b9bce106b2030897359a324e35fdbc6737b1833ebbe9d46ee4f10c4c29556d99006497938b2d5a1149d33eef8a
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,1,1,c805334be88a9d78f4a4fd2fe0674d4afb17b772d759156244bb0ce6b6e0cb2f
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,1,2,3b447b085b5600559832166d678efed0afd9102f341c985320238b23378be1fc48d31c48fcb48b2ea1e9e76b36396abcf914112f3a0f51fe426b3f85db6216d4
5euromunten.nl,_443._tcp.5euromunten.nl,IN,TLSA,3,0,1,df33411406bb3adfa99c3ea17c67064b2936b2da435cc9fabdd659aac29d5c74
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,113776b1a4ab56fed98ab76150971d568d2285c4d358b25a0b496e7abe38ae0b
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,8bdaabe67ccda2becbf6296ca1d51eb18f6392dbf5d7521221fb16e0eaae6d4b
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,e74aacb5b00a9da6f6f9b99e81c3e0ffc7c99cab8e6ba8a0e9c657841106158b
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,ef8320dc944f012a57aa7ccd9101e690efcfb110ce00a822f6b4cc1a14e8ca99
64k.nl,_443._tcp.64k.nl,IN,TLSA,3,1,1,eec8447839e1dd49d41e9ec80e04f9df85191a9f8198af9e17f7dd245afe6009
666gravel.bike,_443._tcp.666gravel.bike.web1.dane.canodus.be,IN,TLSA,3,1,2,4682b9a2b93353709104ddb36b9e9c8c1d2cd73f05a4aafb3bced1cac89331c3ccb4dbbbfc3d232243a519d9e62c76ba412a96563839fe99b9dcd20c67af3ece
666gravel.bike,_443._tcp.666gravel.bike.web1.dane.canodus.be,IN,TLSA,3,1,2,cf83e1357eefb8bdf1542850d66d8007d620e4050b5715dc83f4a921d36ce9ce47d0d13c5d85f2b0ff8318d2877eec2f63b931bd47417a81a538327af927da3e
6942mini.848.fr,_443._tcp.6942mini.848.fr,IN,TLSA,3,1,2,62a31ff1b8ce850fa514ed0b5fcf76e1599eccec3f862359a78092dd836409947915fb1011580807a597210919cc89a56b93bcbf350fd116405d1e452f6bcd71
6942mini.848.fr,_443._tcp.6942mini.848.fr,IN,TLSA,3,1,2,8606e8fb896d0ff5878e4f9c73638287f490d3692330e62037b4cd791fecb03d3d3f3db6e692d4d1d825f750e5cfd8f7a05373873753ef11b32213c07d71101c
6dos.eu,_443._tcp.6dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
6dos.eu,_443._tcp.6dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
7dos.eu,_443._tcp.7dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
7dos.eu,_443._tcp.7dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
7ring.nl,_443._tcp.7ring.nl,IN,TLSA,3,1,1,08f5981e4110ab71c719800e32d18bcb8cfadc081f288b320766674f1db91c3b
848.fr,_443._tcp.848.fr,IN,TLSA,3,1,2,62a31ff1b8ce850fa514ed0b5fcf76e1599eccec3f862359a78092dd836409947915fb1011580807a597210919cc89a56b93bcbf350fd116405d1e452f6bcd71
848.fr,_443._tcp.848.fr,IN,TLSA,3,1,2,8606e8fb896d0ff5878e4f9c73638287f490d3692330e62037b4cd791fecb03d3d3f3db6e692d4d1d825f750e5cfd8f7a05373873753ef11b32213c07d71101c
8dos.eu,_443._tcp.8dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
