domain,host,class,type,usage,selector,matching_type,certificate
2dos.eu,_443._tcp.2dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2milebridge.com,_443._tcp.2milebridge.com,IN,TLSA,2,1,1,0b9fa5a59eed715c26c1020c711b4f6ec42d58b0015e14337a39dad301c5afc3
2milebridge.com,_443._tcp.2milebridge.com,IN,TLSA,3,1,1,8f8052188ed8f34aade81087746c13fa1b5f17fc69b443c8af484b0764d41482
365zonnepaneel.nl,_443._tcp.365zonnepaneel.nl,IN,TLSA,3,0,1,7cecad90b167a6cf2e0fe4eaf5eacc218b11e18830bf88c64e547c39e261a421
3dfiguur.nl,_443._tcp.3dfiguur.nl,IN,TLSA,3,0,1,42fadf59975096350c31c5a54d082c5edfdafed43174299da97a1d65f37a674a
438b.net,_443._tcp.438b.net,IN,TLSA,3,1,1,8784394731d21aa41b7c7d6f1a82979711def1d7cb9465ccb789169141e7583b
443.one,_443._tcp.443.one,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
4dos.eu,_443._tcp.4dos.eu,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
4dos.eu,_443._tcp.4dos.eu,IN,TLSA,3,1,1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
4service.nl,_443._tcp.4service.nl,IN,TLSA,3,0,1,34ab6ccf05b06262257ee9e0504bee5f2b9e47144982d95bbf1085ea6331c69f
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,0,1,67add1166b020ae61b8f5fc96813c04c2aa589960796865572a3c7e737613dfd
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,0,2,96c5793b2b57d8df5891c94015720960e0da4c2cf8ce1fc5707a0b46e5db8ce3761fb5fdb430f619d1579f13e80fbdd973ef6a024129ed039aa193273158fcad
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,1,1,8d02536c887482bc34ff54e41d2ba659bf85b341a0a20afadb5813dcfbcf286d
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,2,1,2,0f644c9a1dcb8c04be6b385a60dbe4fdf7e2b81e335c9ad8c7cd0abe2ff9e7e5bbfbb68b38dd0216f17808f48bdf6af8c6347659c1f41a9858032c31f436d12c
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,0,1,1bd0e19fa4f01333d491d613b102b3064acc40026db395659028ad1126eaa1e8
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,0,2,f26b6ad113b4e6dd21c6f6b09263cce29b90c2b9bce106b2030897359a324e35fdbc6737b1833ebbe9d46ee4f10c4c29556d99006497938b2d5a1149d33eef8a
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,1,1,c805334be88a9d78f4a4fd2fe0674d4afb17b772d759156244bb0ce6b6e0cb2f
50bc.net,www.50bc.net.tlsa.50bc.net,IN,TLSA,3,1,2,3b447b085b5600559832166d678efed0afd9102f341c985320238b23378be1fc48d31c48fcb48b2ea1e9e76b36396abcf914112f3a0f51fe426b3f85db6216d4
5euromunten.nl,_443._tcp.5euromunten.nl,IN,TLSA,3,0,1,53cd21c49a192dfaf25d6bf42cfbac1029578826f987bd77d78b0f0999ce3e67
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,113776b1a4ab56fed98ab76150971d568d2285c4d358b25a0b496e7abe38ae0b
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,8bdaabe67ccda2becbf6296ca1d51eb18f6392dbf5d7521221fb16e0eaae6d4b
5fm.nu,_443._tcp.5fm.nu,IN,TLSA,3,1,1,e74aacb5b00a9da6f6f9b99e81c3e0ffc7c99cab8e6ba8a0e9c657841106158b
